time;type;cp;cp_target_power;cp_charging_rate;vehicle;vehicle_soc;vehicle_charge;vehicle_capacity;cp_charge_increment
24600;U;6;0,0;0,0;7,0;0,99350965364158;37,65401587301588;37,9;0,0
24600;U;8;22,0;22,0;4,0;0,9032652453295885;33,69179365079365;37,3;0,7027777777777778
24655;D;0;0,0;0,0;;;;;0,0
24655;D;1;22,0;22,0;6,0;0,7915228174603175;50,65746031746032;64,0;0,33611111111111114
24655;D;3;22,0;22,0;9,0;0,3952691603898038;14,74353968253968;37,3;0,33611111111111114
24655;D;4;0,0;0,0;8,0;0,9936915818959164;32,0962380952381;32,3;0,0
24655;D;5;22,0;22,0;5,0;0,8962759462759463;46,60634920634921;52,0;0,33611111111111114
24655;D;6;0,0;0,0;7,0;0,99350965364158;37,65401587301588;37,9;0,0
24655;D;8;22,0;22,0;4,0;0,9122762670751946;34,02790476190476;37,3;0,33611111111111114
24656;D;1;22,0;22,0;6,0;0,7916183035714286;50,66357142857143;64,0;0,006111111111111111
24656;D;3;22,0;22,0;9,0;0,3954329971488148;14,74965079365079;37,3;0,006111111111111111
24656;D;4;0,0;0,0;8,0;0,9936915818959164;32,0962380952381;32,3;0,0
24656;D;5;22,0;22,0;5,0;0,8963934676434676;46,61246031746032;52,0;0,006111111111111111
24656;D;6;0,0;0,0;;;;;0,0
24656;D;8;22,0;22,0;4,0;0,9124401038342056;34,03401587301587;37,3;0,006111111111111111
24657;A;1;22,0;22,0;6,0;0,7917137896825397;50,66968253968254;64,0;0,006111111111111111
24657;A;3;22,0;22,0;9,0;0,3955968339078258;14,7557619047619;37,3;0,006111111111111111
24657;A;4;0,0;0,0;8,0;0,9936915818959164;32,0962380952381;32,3;0,0
24657;A;5;22,0;22,0;5,0;0,896510989010989;46,61857142857143;52,0;0,006111111111111111
24657;A;7;22,0;22,0;10,0;0,59;30,68;52,0;
24657;A;8;22,0;22,0;4,0;0,9126039405932166;34,04012698412698;37,3;0,006111111111111111
24900;U;1;22,0;22,0;6,0;0,8149169146825397;52,15468253968254;64,0;1,485
24900;U;3;22,0;22,0;9,0;0,43540916634750404;16,2407619047619;37,3;1,485
24900;U;4;0,0;0,0;8,0;0,9936915818959164;32,0962380952381;32,3;0,0
24900;U;5;22,0;22,0;5,0;0,9250686813186813;48,10357142857143;52,0;1,485
24900;U;7;22,0;22,0;10,0;0,6185576923076923;32,165;52,0;1,485
24900;U;8;22,0;22,0;4,0;0,9524162730328949;35,52512698412698;37,3;1,485
25029;D;1;22,0;22,0;6,0;0,827234623015873;52,943015873015874;64,0;0,7883333333333333
25029;D;3;22,0;22,0;9,0;0,45654410825992586;17,029095238095234;37,3;0,7883333333333333
25029;D;4;0,0;0,0;;;;;0,0
25029;D;5;22,0;22,0;5,0;0,9402289377289377;48,89190476190476;52,0;0,7883333333333333
25029;D;7;22,0;22,0;10,0;0,6337179487179487;32,95333333333333;52,0;0,7883333333333333
25029;D;8;22,0;22,0;4,0;0,9735512149453167;36,31346031746031;37,3;0,7883333333333333
25200;U;1;22,0;22,0;6,0;0,843562748015873;53,988015873015875;64,0;1,0450000000000002
25200;U;3;22,0;22,0;9,0;0,48456019405081063;18,074095238095236;37,3;1,0450000000000002
25200;U;5;22,0;22,0;5,0;0,9603250915750916;49,93690476190476;52,0;1,0450000000000002
25200;U;7;22,0;22,0;10,0;0,6538141025641026;33,998333333333335;52,0;1,0450000000000002
25200;U;8;0,0;0,0;4,0;1,0;37,3;37,3;0,9865396825396857
25353;A;0;22,0;22,0;11,0;0,43;16,038999999999998;37,3;
25353;A;1;22,0;22,0;6,0;0,8581721230158731;54,92301587301588;64,0;0,935
25353;A;3;22,0;22,0;9,0;0,509627218179497;19,009095238095234;37,3;0,935
25353;A;5;22,0;22,0;5,0;0,9783058608058609;50,871904761904766;52,0;0,935
25353;A;7;22,0;22,0;10,0;0,6717948717948719;34,93333333333334;52,0;0,935
25353;A;8;0,0;0,0;4,0;1,0;37,3;37,3;0,0
25500;U;0;22,0;22,0;11,0;0,4540840035746202;16,93733333333333;37,3;0,8983333333333334
25500;U;1;22,0;22,0;6,0;0,8722085813492064;55,82134920634921;64,0;0,8983333333333334
25500;U;3;22,0;22,0;9,0;0,5337112217541171;19,907428571428568;37,3;0,8983333333333334
25500;U;5;0,0;0,0;5,0;0,995581501831502;51,7702380952381;52,0;0,8983333333333334
25500;U;7;22,0;22,0;10,0;0,6890705128205129;35,83166666666667;52,0;0,8983333333333334
25500;U;8;0,0;0,0;4,0;1,0;37,3;37,3;0,0
25648;D;0;22,0;22,0;11,0;0,4783318439082514;17,841777777777775;37,3;0,9044444444444445
25648;D;1;22,0;22,0;6,0;0,8863405257936509;56,725793650793655;64,0;0,9044444444444445
25648;D;3;22,0;22,0;9,0;0,5579590620877484;20,81187301587301;37,3;0,9044444444444445
25648;D;5;0,0;0,0;5,0;0,995581501831502;51,7702380952381;52,0;0,0
25648;D;7;22,0;22,0;10,0;0,7064636752136753;36,736111111111114;52,0;0,9044444444444445
25648;D;8;0,0;0,0;;;;;0,0
25800;U;0;22,0;22,0;11,0;0,5032350312779267;18,770666666666664;37,3;0,928888888888889
25800;U;1;22,0;22,0;6,0;0,9008544146825398;57,65468253968255;64,0;0,928888888888889
25800;U;3;22,0;22,0;9,0;0,5828622494574236;21,7407619047619;37,3;0,928888888888889
25800;U;5;0,0;0,0;5,0;0,995581501831502;51,7702380952381;52,0;0,0
25800;U;7;22,0;22,0;10,0;0,7243269230769231;37,665000000000006;52,0;0,928888888888889
