# Example simulation
time;type;cp;cp_target_power;cp_charging_rate;vehicle;vehicle_soc;vehicle_charge;vehicle_capacity;cp_charge_increment
50918;A;1;12,0;12,0;44,0;0,7250371387871387;37,701931216931214;52,0;0,8074074074074075
50918;A;2;12,0;12,0;45,0;0,8013939763939764;41,67248677248677;52,0;0,8074074074074075
50918;A;3;12,0;12,0;47,0;0,663909386215016;24,7638201058201;37,3;0,8074074074074075
50918;A;4;12,0;12,0;48,0;0,89748371998372;46,66915343915344;52,0;0,8074074074074075
50918;A;5;12,0;12,0;43,0;0,7217892755392755;37,53304232804233;52,0;0,8074074074074075
50918;A;6;12,0;12,0;46,0;0,5595456857956858;29,096375661375657;52,0;0,8074074074074075
50918;A;7;12,0;12,0;49,0;0,7637108262108262;39,71296296296296;52,0;0,8074074074074075
50918;A;8;12,0;12,0;50,0;0,7428774928774929;38,62962962962963;52,0;0,8074074074074075
50918;A;9;12,0;12,0;51,0;0,69;44,16;64,0;
51000;U;0;12,0;12,0;39,0;0,9642892755392758;50,14304232804234;52,0;0,2733333333333334
51000;U;1;12,0;12,0;44,0;0,730293549043549;37,97526455026455;52,0;0,2733333333333334
51000;U;2;12,0;12,0;45,0;0,8066503866503866;41,945820105820104;52,0;0,2733333333333334
51000;U;3;12,0;12,0;47,0;0,6712373576180545;25,037153439153432;37,3;0,2733333333333334
51000;U;4;12,0;12,0;48,0;0,9027401302401302;46,942486772486774;52,0;0,2733333333333334
51000;U;5;12,0;12,0;43,0;0,7270456857956857;37,80637566137566;52,0;0,2733333333333334
51000;U;6;12,0;12,0;46,0;0,564802096052096;29,36970899470899;52,0;0,2733333333333334
51000;U;7;12,0;12,0;49,0;0,7689672364672364;39,986296296296295;52,0;0,2733333333333334
51000;U;8;12,0;12,0;50,0;0,7481339031339032;38,90296296296297;52,0;0,2733333333333334
51000;U;9;12,0;12,0;51,0;0,6942708333333333;44,43333333333333;64,0;0,2733333333333334
51300;U;0;12,0;12,0;39,0;0,9835200447700451;51,14304232804234;52,0;1,0
51300;U;1;12,0;12,0;44,0;0,7495243182743182;38,97526455026455;52,0;1,0
51300;U;2;12,0;12,0;45,0;0,8258811558811558;42,945820105820104;52,0;1,0
51300;U;3;12,0;12,0;47,0;0,6980470090925853;26,037153439153432;37,3;1,0
51300;U;4;12,0;12,0;48,0;0,9219708994708995;47,942486772486774;52,0;1,0
51300;U;5;12,0;12,0;43,0;0,746276455026455;38,80637566137566;52,0;1,0
51300;U;6;12,0;12,0;46,0;0,5840328652828652;30,36970899470899;52,0;1,0
51300;U;7;12,0;12,0;49,0;0,7881980056980057;40,986296296296295;52,0;1,0
51300;U;8;12,0;12,0;50,0;0,7673646723646724;39,90296296296297;52,0;1,0
51300;U;9;12,0;12,0;51,0;0,7098958333333333;45,43333333333333;64,0;1,0
51600;U;0;0,0;0,0;39,0;1,0;52,0;52,0;0,8569576719576588
51600;U;1;13,333333333333334;13,333333333333334;44,0;0,7687550875050875;39,97526455026455;52,0;1,0
51600;U;2;13,333333333333334;13,333333333333334;45,0;0,8451119251119251;43,945820105820104;52,0;1,0
51600;U;3;13,333333333333334;13,333333333333334;47,0;0,7248566605671162;27,037153439153432;37,3;1,0
51600;U;4;13,333333333333334;13,333333333333334;48,0;0,9412016687016688;48,942486772486774;52,0;1,0
